"국가별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월",
"동티모르","예금금리","",".65",".65",".65",".66",".64",".64",".63193",".63329",".63876",".63067",".63909",".63841",".64012",".63986",".64483",".64626",".64648",".64679",".64813",".65215",".64874",".59006",".65474",".6432",".65437",".65639",".65766",".65714",".65956",".65919",".65804",".63922",".64027",".64156",".63985",".63877",".62955",".6365",".64",".62514",".62514",".64476",".64964",".64753",".64539",".6544",".63642",".63171",".63785",".63846",".63",".60065",".60352",".60488",".57396",".59837",".59645",".59645",".59268",".59143",".5915",".58968",".58308",".5768",".5866",".62759",".62224",".62155",".62013",".62155",".60402",".54693",
"동티모르","대출금리","","12.45","12.4","13.08","12.86","13.06","13.24","13.48416","13.75658","14.03432","14.22548","14.37345","14.51163","14.72915","14.82593","14.97868","15.19773","15.35577","15.48436","16.2099","16.20019","16.26418","12.71512","16.09344","16.29172","16.40996","16.3294","16.23984","16.15233","15.99186","15.85628","15.66774","11.46628","11.42738","11.37057","11.33622","11.28497","11.74192","11.14444","11.16","11.14102","11.14102","11.11925","11.09022","11.13169","11.08998","11.07","11.05605","11.03243","11.03839","11.04286","11.04","11.03379","11.01886","11.01141","11.07567","11.06129","10.99666","10.99666","10.90489","10.83344","10.80338","10.83766","10.79976","10.8081","10.6974","10.67159","10.7","10.70583","10.67933","10.70583","10.64112","10.64657",
"튀르키예","중앙은행 정책 금리","","7.25","7.25","7.25","7.25","7.25","16.25","16.25","16.25","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","18.25","18.25","15","12.5","12.5","10.5","9.75","9.25","8.25","7.25","6.75","6.75","6.75","6.75","8.75","8.75","13.5","15.5","15.5","15.5","17.5","17.5","17.5","17.5","17.5","17.5","16.5","14.5","13.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","11.5","10.5","9","7.5","7.5","7","7","7","7","13.5","16","16","23.5","28.5","33.5","38.5","41",
"튀르키예","할인율","","8.75","8.75","8.75","8.75","8.75","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","17.25","17.25","12.75","12.75","12.75","12.75","12.75","12.75","9","9","9","9","9","9","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","15.75","14.75","14.75","14.75","14.75","14.75","14.75","14.75","14.75","14.75","14.75","14.75","9.75","9.75","9.75","9.75","9.75","15.75","15.75","15.75","15.75","30.75","30.75","35.75","43.25",
"튀르키예","예금금리","","15.9","16","16","16","18","21.5","22","29.25","32.5","32","30.5","29.75","30.41","28.9","28.9","28.9","26","27.88","25.57","23.85","22","19","23","20.5","12.52","11.89","12.25","12.5","11.3","10","10.13","13.5","13.94","14.75","17.75","19.75","19.45","19.45","20.25","20.25","20.25","20.25","20","20","20","20","19","29.5","28","22.5","21.19","20.65","20.65","28","27.5","28","28","31.5","33.5","35","35","39.5","39.5","38","48","50","45.9","55","60","65","70","70",
"우즈베키스탄","중앙은행 정책 금리","","14","14","14","14","14","14","14","14","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","17","17","17","16","15","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14",
"우즈베키스탄","시장금리","","13.19","13.49005","13.15537","12.66","12.83","13.12","12.03","10.64","11.33","13.74","14.02","14.84533","14.68","14.64","14.65","14.85","14.3","15.10091","15.01","15.11","15.18","15.2","16.39","17.47","15.81","15.2","16.04","17.09","16.75","16.27174","15.14833","15.44527","14.8399","13.8485","14.11819","14.43989","14.05977","14.438","14.42116","14.24805","11.98571","10.99248","8.73576","13.00142","13.3063","13.09763","13.13674","13.99656","13.16441","13.09289","15.09953","18.15908","18.00115","17.12701","15.61981","14.60491","14.16344","14.01785","14.07906","14.07605","14.1073","14.26045","13.86084","13.34287","13.81331","13.94282","14.09678","14.34044","14.32817","14.7208","14.73028","14.83045",
"우즈베키스탄","초단기 국채율","","","","","","","","","","","","","14.41404","14.41404","13.18974","13.75802","13.75802","10.32453","8.80817","14.01849","14.01849","14.01849","14.01849","14.01849","14.01849","13.7","13.7","13.7","13.7","13.7","14.17","14.17","14.17","14.08242","13.81368","13.81368","13.81368","13.81368","11.90983","13.58927","12.02309","12.15589","13.02806","13.96419","13.89405","13.98029","13.99189","13.97062","13.14571","12.89997","13.97271","14.23748","16.96362","16.99412","19.01612","17.83429","16.67471","17.02745","16.47124","17.05359","17.16617","17.16617","17.2522","17.43068","16.93116","17.21213","17.44441","17.46697","17.71056","16.52202","16.22616","16.22616","16.22616",
"우즈베키스탄","예금금리","","15.83121","14.89595","14.40976","14.31622","14.40185","14.28402","14.08317","13.68421","14.19767","13.33688","13.62866","13.99642","14.77944","15.68972","15.42492","15.3777","15.52","15.29","16.17","16.95","17.22","17.1","17.05","17.3","17.91","17.26","17.4","17.84","17.91","17.69022","15.74871","15.37516","14.99214","14.42319","14.5621","14.62034","16.04763","17.56384","18.33752","16.7793","16.59345","16.36044","15.47821","16.2794","16.3951","15.18198","15.77915","15.01704","15.19755","15.99557","16.89757","18.70992","18.33225","18.80638","18.31989","17.89421","18.36346","18.19386","18.35979","17.64092","17.15508","17.45755","17.47773","19.30853","17.78225","18.86148","16.122","19.34725","18.32265","17.92939","18.0788","18.36243",
"우즈베키스탄","대출금리","","19.7848","18.41798","20.18307","19.04226","19.48103","19.55717","19.44597","19.73153","19.49928","20.70994","21.32295","22.41148","22.52363","23.36622","23.75036","22.48","23.31","23.306","23.23","23.85734","24.26927","24.24","24.24","24.7","25.74","24.97","25.2","24.6","24.84","24.73593","21.10064","20.81243","18.77809","19.0208","19.87386","18.42085","21.34075","21.82323","21.87489","21.30548","21.62188","21.16547","21.60135","21.17775","21.18837","21.15492","21.5953","21.22764","22.13151","21.58956","21.39742","22.34283","22.51524","22.42563","20.80959","21.2161","21.56327","21.39933","21.41044","22.15247","21.13942","21.43212","22.12394","22.50447","22.24177","22.31365","22.86968","22.73128","21.46689","20.61593","22.68511","23.67679",
"베트남","중앙은행 정책 금리","","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6","6","6","6","6","6","5","5","4.5","4.5","4.5","4.5","4","4","4","4","4","4","4","4","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","6","6","6","6","6","","5.5","4.5","4.5","4.5","4.5","4.5","","4.5","4.5",
"베트남","예금금리","","4.753","4.753","4.753","4.75","4.7","4.6","4.6","4.6","4.65","4.85","4.85","5","5","5","5","5","5","5","5","5","5","5","4.9","4.8","4.8","4.8","4.725","4.65","4.25","4.1875","4","3.8","3.75","3.6","3.5","3.38","3.38","3.36","3.34","3.34","","","3.38","3.38","3.4","3.39","3.39","3.39","3.4","3.39","3.43","3.44","3.46","3.49","3.53","3.59","3.71","4.17","4.81","5.39","5.67","5.7","","5.59","5.42","5.01","4.68","4.4","4.15","","3.7","3.49",
"베트남","대출금리","","7.44","7.43","7.19","7.4375","7.375","7.365","7.6175","7.59","7.1975","7.11","7.255","7.455","8.0775","7.9075","7.935","7.7025","7.275","7.2925","7.3275","7.8","7.8075","7.8175","7.755","7.7925","7.975","7.8625","7.975","7.36","7.235","7.195","7.8075","7.79","7.77","7.62","7.6","7.58","8.19","8.34","8.05","8.09","","","7.9","7.6","7.58","7.48","7.44","7.44","7.54","7.52","7.51","7.56","7.62","7.69","7.78","7.95","8.09","8.52","9.01","9.37","9.79","9.91","","9.88","9.79","9.58","9.54","9.31","9","","8.42","8.01",
