청크번호: 37 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 나. 피보험자의 배우자: 법률상의 배우자 또는 사실혼관계에 있는 배우자를 말합니다.

청크번호: 38 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 다. 피보험자의 자녀: 법률상의 혼인관계에서 출생한 자녀, 사실혼관계에서 출생한 자녀, 양자 또는 양녀를 말합니다.

청크번호: 39 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 16. 휴대품, 인명보호장구 및 소지품

청크번호: 40 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 휴대품: 통상적으로 몸에 지니고 있는 물품으로 현금, 유가증권, 만년필, 소모품, 손목시계, 귀금속, 장신구, 그 밖에 이와 유사한 물품을 말합니다.

청크번호: 41 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 나. 인명보호장구 : 외부충격으로부터 탑승자의 신체를 보호하는 특수기능이 포함된 것으로 「도로교통법 시행규칙」 제32조에서 정하는 승차용 안전모 또는 전용의류(1)를 말합니다.

청크번호: 42 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 다. 소지품: 휴대품을 제외한 물품으로 정착(1)되어 있지 않고 휴대할 수 있는 물품을 말합니다.(2)

청크번호: 43 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: (1) 정착: 볼트, 너트 등으로 고정되어 있어서 공구 등을 사용하지 않으면 쉽게 분리할 수 없는 상태

청크번호: 44 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: (2) 예: 휴대전화기, 노트북, 캠코더, 카메라, 음성재생기(CD 플레이어, MP3 플레이어, 카세트테이프 플레이어 등), 녹음기, 전자수첩, 전자사전, 휴대용라디오, 핸드백, 서류가방, 골프채 등

청크번호: 45 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 17. 사고발생 시의 조치의무 위반:「도로교통법」에서 정한 사고발생 시의 조치를 하지 않은 경우를 말합니다. 다만, 주·정차된 차만 손괴한 것이 분명한 경우에 피해자에게 인적사항을 제공하지 아니한 경우는 제외합니다.

청크번호: 46 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 18. 보험가액

청크번호: 47 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 보험계약을 체결하는 경우 보험계약 체결 당시 보험개발원이 정한 최근의 자동차보험 차량기준가액표(적용요령 포함)에 정한 가액을 말합니다.

청크번호: 48 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 나. 보험계약 체결 후 사고가 발생한 경우 보험사고 발생 당시 보험개발원이 정한 최근의 자동차보험 차량기준가액표(적용요령 포함)에 정한 가액을 말합니다.

청크번호: 49 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 1 보험회사가 판매하는 자동차보험은 「대인배상I」, 「대인배상II」, 「대물배상」, 「자기신체사고」, 「무보험자동차에 의한 상해」, 「자기차량손해」의 6가지 보장종목과 특별약관으로 구성되어 있습니다. 2 보험계약자는 다음과 같은 방법에 의해 자동차보험에 가입합니다.

청크번호: 50 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 1. 의무보험 : 「자동차손해배상보장법」 제5조에 의해 보험에 가입할 의무가 있는 자동차보유자는 「대인배상I」과 「대물배상」(「자동차손해배상보장법」에서 정한 보상한도에 한함)을 반드시 가입하여야 합니다.

청크번호: 51 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 2. 임의보험 : 의무보험에 가입하는 보험계약자는 의무보험에 해당하지 않는 보장종목을 선택하여 가입할 수 있습니다. 3 각 보장종목별 보상 내용은 다음과 같으며 상세한 내용은 제2편 자동차보험에서 보상하는 내용에 규정되어 있습니다.

청크번호: 52 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 1. 배상책임: 자동차사고로 인하여 피보험자가 손해배상책임을 짐으로써 입은 손해를 보상 보장종목 / 보상하는 내용

청크번호: 53 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 가. 「대인배상I」 / 자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우에 「자동차손해배상보장법」에서 정한 한도에서 보상

청크번호: 54 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 나. 「대인배상II」 / 자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우, 그 손해가 「대인배상I」에서 지급하는 금액을 초과하는 경우에 그 초과손해를 보상

청크번호: 55 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 다. 「대물배상」 / 자동차사고로 다른 사람의 재물을 없애거나 훼손한 경우에 보상

청크번호: 56 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 2. 배상책임 이외의 보장종목: 자동차사고로 인하여 피보험자가 입은 손해를 보상 보장종목 / 보상하는 내용

청크번호: 57 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 가. 「자기신체사고」 / 피보험자가 죽거나 다친 경우에 보상

청크번호: 58 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 나. 「무보험자동차에 의한 상해」 / 무보험자동차에 의해 피보험자가 죽거나 다친 경우에 보상

청크번호: 59 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: 다. 「자기차량손해」 / 피보험자동차에 생긴 손해를 보상 4 자동차보험료는 보험회사가 금융감독원에 신고한 후 사용하는 '자동차보험요율서'에서 정한 방법에 의하여 계산합니다.

청크번호: 60 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제2조(자동차보험의 구성) | 내용: <예 시> 납입할 보험료 / = / 기본 보험료 / × / 특약 요율 / × / 가입자특성요율 (보험가입경력요율 ± 교통법규위반경력요율) × / 특별 요율 / × / 우량할인· 불량할증요율 / × / 사고건수별 특성요율 구 분 내 용 기본보험료 차량의 종류, 배기량, 용도, 보험가입금액, 성별, 연령 등에 따라 미리 정해놓은 기본적인 보험료 특약요율 운전자의 연령범위를 제한하는 특약, 가족으로 운전자를 한정하는 특약 등 가입시에 적용하는 요율 가입자특성요율 보험가입기간이나 법규위반경력에 따라 적용하는 요율 특별요율 자동차의 구조나 운행실태가 같은 종류의 차량과 다른 경우 적용하는 요율 우량할인· 불량할증요율 사고발생 실적에 따라 적용하는 요율 사고건수별 특성요율 직전 3년간 사고유무 및 사고건수에 따라 적용하는 요율 참고: 자동차보험료 계산에 관한 세부적인 사항은 각 보험회사별로 일부 상이

청크번호: 61 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제3조(보상하는 손해) | 내용: 「대인배상I」에서 보험회사는 피보험자가 피보험자동차의 운행으로 인하여 다른 사람을 죽거나 다치게 하여 「자동차손해배상보장법」 제3조에 의한 손해배상책임을 짐으로써 입은 손해를 보상합니다.

청크번호: 62 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 「대인배상I」에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말하며, 다음에서 정하는 자 외에도 「자동차손해배상보장법」상 자동차보유자에 해당하는 자가 있는 경우에는 그 자를 「대인배상I」의 피보험자로 봅니다.

청크번호: 63 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 1. 기명피보험자

